width,height,channels,size_in_bytes,image_path,person
299,299,3,21391,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg5.jpg,pins_mark zuckerberg
299,299,3,20381,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg33.jpg,pins_mark zuckerberg
299,299,3,24448,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg27.jpg,pins_mark zuckerberg
299,299,3,20269,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg26.jpg,pins_mark zuckerberg
299,299,3,20028,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg32.jpg,pins_mark zuckerberg
299,299,3,18716,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg24.jpg,pins_mark zuckerberg
299,297,3,24241,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg30.jpg,pins_mark zuckerberg
299,299,3,21199,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg18.jpg,pins_mark zuckerberg
299,299,3,22759,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg19.jpg,pins_mark zuckerberg
299,299,3,21479,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg31.jpg,pins_mark zuckerberg
299,299,3,26818,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg25.jpg,pins_mark zuckerberg
299,299,3,21260,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg21.jpg,pins_mark zuckerberg
299,299,3,23302,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg35.jpg,pins_mark zuckerberg
299,299,3,19712,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg34.jpg,pins_mark zuckerberg
299,299,3,20607,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg20.jpg,pins_mark zuckerberg
299,299,3,23255,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg36.jpg,pins_mark zuckerberg
299,299,3,22716,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg22.jpg,pins_mark zuckerberg
299,299,3,22062,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg23.jpg,pins_mark zuckerberg
299,299,3,17982,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg37.jpg,pins_mark zuckerberg
299,299,3,19670,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg12.jpg,pins_mark zuckerberg
299,299,3,22667,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg13.jpg,pins_mark zuckerberg
299,299,3,24612,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg11.jpg,pins_mark zuckerberg
299,299,3,27053,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg39.jpg,pins_mark zuckerberg
299,299,3,21407,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg38.jpg,pins_mark zuckerberg
299,299,3,22779,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg10.jpg,pins_mark zuckerberg
299,299,3,20957,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg28.jpg,pins_mark zuckerberg
299,299,3,21821,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg14.jpg,pins_mark zuckerberg
299,299,3,22365,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg15.jpg,pins_mark zuckerberg
299,299,3,24101,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg29.jpg,pins_mark zuckerberg
299,299,3,21586,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg17.jpg,pins_mark zuckerberg
299,299,3,17338,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg16.jpg,pins_mark zuckerberg
299,299,3,20917,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg8.jpg,pins_mark zuckerberg
299,299,3,18756,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg59.jpg,pins_mark zuckerberg
299,299,3,24636,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg58.jpg,pins_mark zuckerberg
299,299,3,14239,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg9.jpg,pins_mark zuckerberg
299,299,3,23084,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg48.jpg,pins_mark zuckerberg
299,299,3,23222,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg60.jpg,pins_mark zuckerberg
299,299,3,17286,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg61.jpg,pins_mark zuckerberg
299,299,3,16868,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg49.jpg,pins_mark zuckerberg
299,299,3,30882,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face115.jpg,pins_amber heard face
299,299,3,26898,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face101.jpg,pins_amber heard face
299,297,3,26371,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face129.jpg,pins_amber heard face
299,299,3,20029,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face26.jpg,pins_amber heard face
299,347,3,29301,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face32.jpg,pins_amber heard face
299,299,3,28558,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face33.jpg,pins_amber heard face
299,299,3,20094,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face27.jpg,pins_amber heard face
299,299,3,20922,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face128.jpg,pins_amber heard face
299,299,3,20277,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face100.jpg,pins_amber heard face
299,299,3,23773,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face114.jpg,pins_amber heard face
299,299,3,25139,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face102.jpg,pins_amber heard face
299,299,3,23121,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face116.jpg,pins_amber heard face
299,299,3,26228,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face31.jpg,pins_amber heard face
299,299,3,24944,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face25.jpg,pins_amber heard face
299,299,3,22936,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face19.jpg,pins_amber heard face
299,299,3,22703,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face18.jpg,pins_amber heard face
299,299,3,24442,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face24.jpg,pins_amber heard face
299,299,3,39173,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face30.jpg,pins_amber heard face
299,299,3,27558,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face117.jpg,pins_amber heard face
299,299,3,25072,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face103.jpg,pins_amber heard face
299,299,3,20490,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face107.jpg,pins_amber heard face
299,299,3,21890,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face113.jpg,pins_amber heard face
299,299,3,21671,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face34.jpg,pins_amber heard face
299,299,3,23141,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face20.jpg,pins_amber heard face
299,299,3,28093,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face21.jpg,pins_amber heard face
299,299,3,24968,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face35.jpg,pins_amber heard face
299,299,3,19468,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face112.jpg,pins_amber heard face
299,299,3,22584,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face106.jpg,pins_amber heard face
299,299,3,26918,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face138.jpg,pins_amber heard face
299,299,3,25768,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face110.jpg,pins_amber heard face
299,299,3,22630,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face104.jpg,pins_amber heard face
299,299,3,19085,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face23.jpg,pins_amber heard face
299,299,3,24855,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face37.jpg,pins_amber heard face
299,299,3,16517,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face36.jpg,pins_amber heard face
299,299,3,22560,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face22.jpg,pins_amber heard face
299,299,3,30329,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face105.jpg,pins_amber heard face
299,299,3,29388,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face111.jpg,pins_amber heard face
299,299,3,24960,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face139.jpg,pins_amber heard face
299,299,3,26300,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face86.jpg,pins_amber heard face
299,299,3,20954,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face92.jpg,pins_amber heard face
299,299,3,26156,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face5.jpg,pins_amber heard face
299,299,3,25929,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face45.jpg,pins_amber heard face
299,299,3,23379,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face51.jpg,pins_amber heard face
299,299,3,24258,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face79.jpg,pins_amber heard face
299,299,3,32011,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face78.jpg,pins_amber heard face
299,299,3,30543,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face50.jpg,pins_amber heard face
299,299,3,30827,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face44.jpg,pins_amber heard face
299,299,3,21020,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face4.jpg,pins_amber heard face
299,299,3,24150,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face93.jpg,pins_amber heard face
299,299,3,24515,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face87.jpg,pins_amber heard face
299,299,3,23487,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face149.jpg,pins_amber heard face
299,299,3,29339,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face91.jpg,pins_amber heard face
299,299,3,25914,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face85.jpg,pins_amber heard face
299,299,3,19171,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face6.jpg,pins_amber heard face
299,299,3,39082,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face52.jpg,pins_amber heard face
299,299,3,24922,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face46.jpg,pins_amber heard face
299,299,3,20358,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face47.jpg,pins_amber heard face
299,299,3,27351,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face53.jpg,pins_amber heard face
299,299,3,29544,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face7.jpg,pins_amber heard face
299,299,3,23447,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face84.jpg,pins_amber heard face
299,299,3,26351,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face90.jpg,pins_amber heard face
299,299,3,19615,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face148.jpg,pins_amber heard face
299,299,3,23852,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face3.jpg,pins_amber heard face
299,299,3,20751,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face94.jpg,pins_amber heard face
299,299,3,22503,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face80.jpg,pins_amber heard face
299,299,3,31704,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face57.jpg,pins_amber heard face
299,299,3,23856,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face43.jpg,pins_amber heard face
299,299,3,20993,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face42.jpg,pins_amber heard face
299,299,3,23086,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face56.jpg,pins_amber heard face
299,299,3,23467,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face81.jpg,pins_amber heard face
299,299,3,24136,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face95.jpg,pins_amber heard face
299,299,3,22688,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face2.jpg,pins_amber heard face
299,299,3,18890,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face0.jpg,pins_amber heard face
299,299,3,23526,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face83.jpg,pins_amber heard face
299,299,3,30135,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face97.jpg,pins_amber heard face
299,299,3,25882,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face68.jpg,pins_amber heard face
299,299,3,23739,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face40.jpg,pins_amber heard face
299,299,3,21022,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face54.jpg,pins_amber heard face
299,299,3,23705,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face55.jpg,pins_amber heard face
299,299,3,18780,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face41.jpg,pins_amber heard face
299,299,3,22321,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face69.jpg,pins_amber heard face
299,299,3,21284,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face96.jpg,pins_amber heard face
299,299,3,17381,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face82.jpg,pins_amber heard face
299,299,3,21899,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face1.jpg,pins_amber heard face
299,299,3,23766,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face143.jpg,pins_amber heard face
299,299,3,22738,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face64.jpg,pins_amber heard face
299,299,3,23063,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face70.jpg,pins_amber heard face
299,299,3,15530,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face58.jpg,pins_amber heard face
299,299,3,20751,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face59.jpg,pins_amber heard face
299,299,3,25296,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face71.jpg,pins_amber heard face
299,299,3,21889,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face65.jpg,pins_amber heard face
299,299,3,29314,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face142.jpg,pins_amber heard face
299,299,3,22361,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face140.jpg,pins_amber heard face
299,299,3,25395,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face98.jpg,pins_amber heard face
299,299,3,30740,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face73.jpg,pins_amber heard face
299,299,3,23003,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face67.jpg,pins_amber heard face
299,299,3,23239,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face66.jpg,pins_amber heard face
299,299,3,18185,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face72.jpg,pins_amber heard face
299,299,3,29211,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face99.jpg,pins_amber heard face
299,299,3,21884,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face141.jpg,pins_amber heard face
299,299,3,19498,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face145.jpg,pins_amber heard face
299,299,3,20735,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face89.jpg,pins_amber heard face
299,299,3,21726,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face76.jpg,pins_amber heard face
299,299,3,24462,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face62.jpg,pins_amber heard face
299,299,3,21590,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face63.jpg,pins_amber heard face
299,299,3,19047,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face77.jpg,pins_amber heard face
299,299,3,22085,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face88.jpg,pins_amber heard face
299,299,3,20780,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face150.jpg,pins_amber heard face
299,299,3,23417,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face144.jpg,pins_amber heard face
299,299,3,26309,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face146.jpg,pins_amber heard face
299,299,3,17578,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face9.jpg,pins_amber heard face
299,299,3,31021,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face49.jpg,pins_amber heard face
299,299,3,20182,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face61.jpg,pins_amber heard face
299,299,3,44720,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face75.jpg,pins_amber heard face
299,299,3,19291,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face74.jpg,pins_amber heard face
299,299,3,18534,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face60.jpg,pins_amber heard face
299,299,3,30551,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face48.jpg,pins_amber heard face
299,299,3,29865,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face8.jpg,pins_amber heard face
299,299,3,19907,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face147.jpg,pins_amber heard face
299,299,3,18711,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face134.jpg,pins_amber heard face
299,299,3,19995,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face120.jpg,pins_amber heard face
299,299,3,28183,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face108.jpg,pins_amber heard face
299,299,3,25193,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face13.jpg,pins_amber heard face
299,299,3,30671,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face12.jpg,pins_amber heard face
299,299,3,22423,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face109.jpg,pins_amber heard face
299,299,3,22493,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face121.jpg,pins_amber heard face
299,299,3,27166,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face135.jpg,pins_amber heard face
299,299,3,23704,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face123.jpg,pins_amber heard face
299,299,3,19072,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_amber heard face/amber heard face137.jpg,pins_amber heard face
